"Class"	"Field"	"Label"	"Description"	"Reviewed"	"Source"	"SourceDetail"	"SourceHash"
"MoInsertNC"	"Content"	"Content"	"refers to a PhNaturalClass to be added into the output at this position."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4019, <rel id=""Content""> under <class id=""MoInsertNC"">"	"sha256:188bb8f5ecac840e637bf871e23280f395d37ba03b76c6a92ca3205eddb50deb"
"MoInsertPhones"	"Content"	"Content"	"refers to an ordered seq of PhPhonemes and/or PhBdryMarkers (thus the signature is the superclass PhTerminalUnit)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4007, <rel id=""Content""> under <class id=""MoInsertPhones"">"	"sha256:f764e080839c9c1aba0bad985428b28e2a492e49d576598e0bfcfe0a2addd530"
"MoModifyFromInput"	"Content"	"Content"	"refers to a PhContextOrVar from the input of the MoAffixProcess owning this object; the meaning is that the stretch of the input word matched by that PhContextOrVar is copied over to the output, but modified in accordance with the modification attribute. Typically, this will be a single phoneme, which is modified by the addition of one or two features (e.g. by being palatalized)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4031, <rel id=""Content""> under <class id=""MoModifyFromInput"">"	"sha256:1a964cbb2ab5cf850b76c44b2c1f2447f0a18413e3e8e9a0cf4150bc25026429"
"MoModifyFromInput"	"Modification"	"Modification"	"refers to an PhNCFeatures object, specifying the features to be added to the phonemes matched by the content to give a portion of the output."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4036, <rel id=""Modification""> under <class id=""MoModifyFromInput"">"	"sha256:993fd8c9ad0622a395cefe368958a6ab50fdd64cbbf39cfb5536eeee222ec4d6"
"MoMorphAdhocProhib"	"FirstMorpheme"	"Key Morpheme"	"The primary morpheme that the constraint is about."	"sourced"	"FieldWorks/DistFiles/Language Explorer/Configuration/ContextHelp.xml"	"line 328, item id=""FirstMorpheme"" (exact; verified against parallel construction to FirstAllomorph, for the morpheme-level rather than allomorph-level co-occurrence restriction)"	"sha256:2505150cabb2cd8578cb13302cc25a936f67f462878d4a4d21744425e55bf006"
"MoMorphAdhocProhib"	"RestOfMorphs"	"Other Morpheme(s)"	"The other morpheme(s) which cannot occur with the key morpheme."	"sourced"	"FieldWorks/DistFiles/Language Explorer/Configuration/ContextHelp.xml"	"line 331, item id=""RestOfMorphs"" (exact; verified against parallel construction to RestOfAllos)"	"sha256:24e6cfd4467432e9dfb37592a02c15f45261128a9466d6fcc9454f9f1ea7e32a"
"MoStemAllomorph"	"PhoneEnv"	"Environments"	"refers to a collection of PhEnvironment objects, describing what the phonetic environment of this allomorph is."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3667, <rel id=""PhoneEnv""> under <class id=""MoStemAllomorph"">"	"sha256:1d7046749530b11d91368e17957c59429a0832cb8f216d003251762c7bd3262f"
"MoStemAllomorph"	"StemName"	"Stem Allomorph Label"	"refers to a MoStemName. Ordinarily, only one allomorph of any given stem will bear a given stem name, but this may not be true if there are phonologically conditioned allomorphs as well. If this attribute is empty, this stem is used as the default stem for the paradigm."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3675, <rel id=""StemName""> under <class id=""MoStemAllomorph"">"	"sha256:fd1e831249370b9667534b0dcb0dc44f24a831eca9161f6cec676a1cbd8f4f4b"
"MoStemMsa"	"FromPartsOfSpeech"	"Attaches to Categories"	"The FromPartsOfSpeech lists the categories (POSes) of words that this clitic may attach to. It can delimit a subset of categories if need be or it can be empty."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2561, <rel id=""FromPartsOfSpeech""> under <class id=""MoStemMsa"">"	"sha256:e0d34a3e1612ea4d6254ec139116eb43b52dee2e0b76851629b9652e290b4cde"
"MoStemMsa"	"InflectionClass"	"Inflection Class"	"refers to an MoInflectionClass (i.e. a conjugation or declension class). If none is listed, PartOfSpeech.vDefaultInflectionClass is used. If there is no vDefaultInflectionClass, then there are presumably no inflection classes (since the default value for vDefaultInflectionClass is the first inflection class of the paradigm). The assumption here is that inflection class membership is essentially an arbitrary label, i.e. that the inflection class membership of a stem cannot and should not be defined by a set of stem allomorphs or lists of 'principal parts' (see discussion in Carstairs-McCarthy 1998b: 332-334)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2544, <rel id=""InflectionClass""> under <class id=""MoStemMsa"">"	"sha256:c75b6818ff10af43fe9f129e94efe3cad13b8f7212d2baeb3e1cc96e9747c4c8"
"MoStemMsa"	"PartOfSpeech"	"Category"	"Most users will be more familiar with the notion of PartOfSpeech or morphosyntactic category than the notion of the object MorphoSyntacticInformation. This attribute, PartOfSpeech, stores the reference to the PartOfSpeech."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2539, <rel id=""PartOfSpeech""> under <class id=""MoStemMsa"">"	"sha256:8d00c0b081c14af7f1747f8a68d06679ec1b2d6da093adf2aa83935930240c36"
"MoStemMsa"	"ProdRestrict"	"Exception Features"	"Mark this stem as belonging to one or more exception classes -- English [+Latinate] is the standard example -- so that affixes which require that class will attach to it. Exception classes are deliberately invisible to syntax; they exist so a few choosy affixes can accept some stems and not others where inflection class cannot express the split."	"hand-corrected"	"liblcm/MasterLCModel.xml"	"line 2555, <rel id=""ProdRestrict""> under <class id=""MoStemMsa"">"	"sha256:f2e0179f07df9d3a95016a42da00db12a203214b530ead6b1aeda841aaa62b8c"
"MoStemMsa"	"Slots"	"Slots"	"The Slots property applies only to clitics and refers to the inflectional affix slots in affix templates."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2566, <rel id=""Slots""> under <class id=""MoStemMsa"">"	"sha256:7a44c2bb98ca25a5893b74a465678421c66b9fb998698f19491f9d3bf4a9ca28"
"MoStemName"	"Abbreviation"	"Abbreviation"	"a multiUnicode string, storing an abbreviated form of the Name. Probably useful for displays. Probably defaults to the first eight or so chars of the Name &#xA &#xD Another test."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3694, <basic id=""Abbreviation""> under <class id=""MoStemName"">"	"sha256:ed7fa14bc3e1bec01d17d3e29dca7b09d5041fca2030796b20367c0a741ff258"
"MoStratum"	"Abbreviation"	"Abbreviation"	"stores an abbreviated form of the Name. Probably useful for displays. Probably defaults to the first eight or so chars of the Name."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3740, <basic id=""Abbreviation""> under <class id=""MoStratum"">"	"sha256:e3995d918350889176aaad6d46b60785525978bc630781e22d7255e0b3b878e1"
"MoUnclassifiedAffixMsa"	"PartOfSpeech"	"Category"	"Set the part of speech recorded for an affix whose full grammatical behaviour has not yet been analysed, so the parser has at least a category to reason with until a fuller analysis replaces this placeholder."	"unsourced"	""	""	""
"PartOfSpeech"	"DefaultInflectionClass"	"Default Inflection Class"	"refers to one of the classes in vAllInflectionClasses; defaults to the first MoInflectionClasses in vAllInflectionClasses (which would be the first class defined for this part of speech; this choice makes sense, i.e. the default is likely to be the largest inflection class, not a subclass of some class.) According to Wurzel (as described in Carstairs-McCarthy 1998b), the default class is the Inflection Class to which newly coined lexemes are usually assigned, to which lexemes from other classes 'drift' in the process of historical change, and the class to which children tend to assign lexemes before they learn the correct class. For our purposes, however, it may be simpler just to think of the default class as being the largest class numerically, i.e. the class to which words in the lexical database are assigned as a first guess."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3849, <rel id=""DefaultInflectionClass""> under <class id=""PartOfSpeech"">"	"sha256:d64042ccd2a1458478be83f720c67a3fd28e8d0ee51fb7e5072c3f225a1b0a93"
"PhCode"	"Representation"	"Grapheme"	"One way this phoneme surfaces."	"sourced"	"FieldWorks/DistFiles/Language Explorer/Configuration/ContextHelp.xml"	"line 302, item id=""Representation"" (exact; verified against MorphologyParts.xml:2979, slice field=""Representation"" label=""Grapheme"" — label matches the already-harvested fieldworks-labels.tsv row for PhCode.Representation exactly)"	"sha256:eea0709fd20d5b5729b751d9492aae2c6a6e046701e025c8db6fefee84212e53"
"PhFeatureConstraint"	"Feature"	"Feature"	"refers to an FsFeatureDefnPhFeatureNode, the feature with respect to which the constraint ensures agreement (or disagreement).The use of an atomic attr, rather than a seq attr, emulates to a certain extent the insight of autosegmental phonology and feature geometry that a rule can change (or refer to in the environment) only a single feature node. Note however that the fact that the feature can be a nonterminal feature (an FsComplexFeature), allows agreement with respect to a number of features dominated by a single node (e.g. a place of articulation feature, which might dominate the features labial, coronal, and back)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4418, <rel id=""Feature""> under <class id=""PhFeatureConstraint"">"	"sha256:f7a5134d69e4243b8df9ebfa5f37222fa6139f8f5bbb7cbdfcc75a9ce8957e80"
"PhIterationContext"	"Member"	"Member"	"a PhPhonologicalContext (but not normally another PhIterationContext)"	"sourced"	"liblcm/MasterLCModel.xml"	"line 4239, <rel id=""Member""> under <class id=""PhIterationContext"">"	"sha256:05cbfd65ee60b27fb83a8ba9f2a1d35a056c28673ffaf068a161fc6fca76681a"
"PhNCSegments"	"Segments"	"Phonemes"	"refers to a collection seq of PhPhoneme, which are interpreted as the members of this class."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4406, <rel id=""Segments""> under <class id=""PhNCSegments"">"	"sha256:50b014e70891471491ab3edf6cc3140009f71dc5c068893ca1b2f570dbcddbef"
"PhNaturalClass"	"Abbreviation"	"Abbreviation"	"The abbreviation for this natural class."	"sourced"	"FieldWorks/DistFiles/Language Explorer/Configuration/ContextHelp.xml"	"line 308, item id=""NaturalClassAbbreviation"" (ambiguous-wiring; verified against translated into 5 locales (Localizations/l10ns/*/strings-*.xml), so the string is almost certainly live, but no direct field=""Abbreviation"" slice with this help id nor a C# HelpKeyword literal was found by static search — the runtime binding could not be confirmed, only the content's unambiguous subject (""the abbreviation for this natural class""))"	"sha256:7d4952b6e761bb5a09244c5be7f1bfb9dcda52e19bce16ad3181eeb1a626890f"
"PhSegRuleRHS"	"ExclRuleFeats"	"Excluded Properties"	"This refers to a set of rule features (which are a possibility list)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 5141, <rel id=""ExclRuleFeats""> under <class id=""PhSegRuleRHS"">"	"sha256:a64f7151f450054961fc103eaa8ce1f64e74bfc6caa7c8c88d403624d2791640"
"PhSegRuleRHS"	"InputPOSes"	"Required Categories"	"When present, this limits the rule application to apply only when the input is for one of the Parts of Speech given in the collection."	"sourced"	"liblcm/MasterLCModel.xml"	"line 5135, <rel id=""InputPOSes""> under <class id=""PhSegRuleRHS"">"	"sha256:acec19f9da8ed6461286b79e607df355baa0e60d971004262ef534b0b7124228"
"PhSegRuleRHS"	"ReqRuleFeats"	"Required Properties"	"These are required rule features. This collection refers to a set of rule features (which are a possibility list)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 5150, <rel id=""ReqRuleFeats""> under <class id=""PhSegRuleRHS"">"	"sha256:6f559787e396a11def08733b06eb6ec618f5abe90637f8d1dd1e8e452b9144f5"
"PhSegmentRule"	"Disabled"	"Active"	"Indicates whether the rule is currently active and therefore will be used by the parser (false) or if it is not active (true) and therefore ignored by the parser (but still available for the user to see)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 5081, <basic id=""Disabled""> under <class id=""PhSegmentRule"">"	"sha256:4f9dd71dedf4cd0e517821a91948190c8b464c7b0de2668caedc5dc7a7296cf6"
"PhSequenceContext"	"Members"	"Members"	"an ordered seq of PhPhonologicalContext (but not normally another PhSequenceContext)"	"sourced"	"liblcm/MasterLCModel.xml"	"line 4251, <rel id=""Members""> under <class id=""PhSequenceContext"">"	"sha256:704a6dcbbf2ea280952f489648db964957b22f7bec7caa29c188df67c0925204"
"PhSimpleContextBdry"	"FeatureStructure"	"Boundary"	"Allows the user to write phonological rules that are sensitive to a particular boundary marker (as opposed to a phoneme or a class of phonemes)."	"adapted"	"liblcm/MasterLCModel.xml"	"line 4294, <rel id=""FeatureStructure""> under <class id=""PhSimpleContextSeg""> — the SIBLING field PhSimpleContextSeg.FeatureStructure, adapted by replacing ""a particular phoneme (as opposed to a class of phonemes)"" with ""a particular boundary marker (as opposed to a phoneme or a class of phonemes)"". Licensed by the abstract parent PhSimpleContext's own class comment (MasterLCModel.xml line 4258): ""The subclasses define simple contexts in terms of natural classes..., phonemes, and boundary markers... All subclasses define a featureStructure attr, but they do so differently for each class."" The model states that these three fields are one concept differing in one dimension, which is what the substitution encodes. The substitution is re-applied to that field's current source text on every refresh, and fails if the clause is no longer there."	"sha256:c948b5274853b43db38781f0485fd0228336e9be216a3d6776920b04b4d40edb"
"PhSimpleContextNC"	"FeatureStructure"	"Natural Class"	"Allows the user to write phonological rules that are sensitive to a natural class of phonemes (as opposed to one particular phoneme)."	"adapted"	"liblcm/MasterLCModel.xml"	"line 4294, <rel id=""FeatureStructure""> under <class id=""PhSimpleContextSeg""> — the SIBLING field PhSimpleContextSeg.FeatureStructure, adapted by replacing ""a particular phoneme (as opposed to a class of phonemes)"" with ""a natural class of phonemes (as opposed to one particular phoneme)"". Licensed by the abstract parent PhSimpleContext's own class comment (MasterLCModel.xml line 4258): ""The subclasses define simple contexts in terms of natural classes..., phonemes, and boundary markers... All subclasses define a featureStructure attr, but they do so differently for each class."" The model states that these three fields are one concept differing in one dimension, which is what the substitution encodes. The substitution is re-applied to that field's current source text on every refresh, and fails if the clause is no longer there."	"sha256:c948b5274853b43db38781f0485fd0228336e9be216a3d6776920b04b4d40edb"
"PhSimpleContextNC"	"MinusConstr"	"Negative Constraints"	"refers to a collection seq of PhFeatureConstraints; see discussion under the plusConstraints attr. A feature in question is required to have opposite value from a plusConstraint elsewhere in the rule, and thus makes sense only if a constraint with the same value appears elsewhere in the rule.See implementation comments under plusConstraints."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4281, <rel id=""MinusConstr""> under <class id=""PhSimpleContextNC"">"	"sha256:b9cc596c00fa9133de39b27748bd50a8d829065e25fa7c4b75587fe32ed941f4"
"PhSimpleContextNC"	"PlusConstr"	"Positive Constraints"	"Refers to a collection seq of PhFeatureConstraint. The use of a plusConstraint only makes sense if there are two or more contexts in a rule that make use of the same constraint. If two such constraints occur in the environment of the rule (treating the input as part of the environment), then the feature referred to by the constraint is required to have the same value in every place where the word matches the pattern. For example, if a plusConstraint for the feature voiced appears on two adjacent consonant contexts in a rule, then the word being matched must have two adjacent consonants with identical voicing. If one of the constraints is in the environment and one in the output of the rule, then the effect is that of a rule of assimilation: in the form output by the rule, the phoneme affected by the rule will have the same value as the value on the phoneme matched by the environment.This attribute is not intended to be implemented immediately, but is included here for completeness (since it is apparently difficult to add new attributes once a COM interface has been defined).Note that although this attr is defined as a collection seq (not an ordered seq), the order is assumed to be stable. Otherwise the labels used in SPE-style rules would be subject to change. On the other hand, the use of a seq attr here may be overkill; from a linguistic standpoint, a single constraint (plus or minus) might be adequate."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4275, <rel id=""PlusConstr""> under <class id=""PhSimpleContextNC"">"	"sha256:2ac6c36562300a1bcc42b8976df0ffb22edefa85cd7c6a6d9d8322267af36da9"
"PhSimpleContextSeg"	"FeatureStructure"	"Phoneme"	"Allows the user to write phonological rules that are sensitive to a particular phoneme (as opposed to a class of phonemes)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4294, <rel id=""FeatureStructure""> under <class id=""PhSimpleContextSeg"">"	"sha256:c948b5274853b43db38781f0485fd0228336e9be216a3d6776920b04b4d40edb"
"ReversalIndexEntry"	"PartOfSpeech"	"Reversal Category"	"This field references and displays the name of a grammatical category from a Reversal Index Categories list, which indicates the grammatical category of the Form field content."	"sourced"	"FieldWorks/DistFiles/Helps/FieldWorks_Language_Explorer_Help.chm"	"User_Interface/Field_Descriptions/Lexicon/Reversal_Indexes_fields/category_field.htm (page title: ""Reversal Category field""; exact; HelpTopicPaths.resx:500, khtpField-ReversalIndexEntry-PartOfSpeech; page full name ""Reversal Category"" matches this field's harvested label exactly)"	"sha256:e2a904a3d6e977cfdd49d235132f71593a15f8575f82c9b367d3ce389d1e29e9"
"ReversalIndexEntry"	"Senses"	"Referenced Senses"	"This field references one or more lexical senses or subsenses, and displays content from the following fields:"	"sourced"	"FieldWorks/DistFiles/Helps/FieldWorks_Language_Explorer_Help.chm"	"User_Interface/Field_Descriptions/Lexicon/Reversal_Indexes_fields/senses_field.htm (page title: ""Referenced Senses field""; exact; HelpTopicPaths.resx:506, khtpField-ReversalIndexEntry-ReferringSenses — a key name the model does not use. Confirmed by label rather than by name: the page's full name is ""Referenced Senses"", which is exactly this field's harvested label (ReversalParts.xml, part ReversalIndexEntry-Detail-CurrentSenses))"	"sha256:0552f7dd4155ed11ac921e41b18c04ffffae40b4d0c329c704d2ef0a1247fdba"
"StText"	"RightToLeft"	"Right to left"	"Specifies whether the overall document direction for this structured text is right-to-left (true) or not (false)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 484, <basic id=""RightToLeft""> under <class id=""StText"">"	"sha256:445d9ef25a1e86795fb2bb510ac88a8239d1a649404dec630e873a71e5adea07"
"WfiWordform"	"SpellingStatus"	"Spelling Status"	"The current status of a wordform (e.g. undecided, correct, incorrect). This will be used to display and allow the changing of a word's status in the concordance view of the translation editor."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3965, <basic id=""SpellingStatus""> under <class id=""WfiWordform"">"	"sha256:1954e07bff7f1d13758a8bde64270ab7979ba89fed3e4037a49293fa383ce32a"
